Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
5.96,500.0,14815.0,9899,1,swarm,sn,1,exp15,1,1,1,4,512,30,2.328,8.232,1.528,493.41
6.77,500.0,14815.0,9901,1,swarm,sn,1,exp14,0,0,1,4,512,30,3.199,9.328,1.56,493.25
6.94,500.0,14815.0,9900,0,swarm,sn,1,exp12,0,1,1,4,512,30,2.594,24.256,1.731,493.4
6.9,500.0,14815.0,9899,1,swarm,sn,1,exp13,0,1,0,4,512,30,2.614,29.248,1.725,493.5
5.48,1500.0,43994.0,29656,1,swarm,sn,1,exp15,1,1,1,4,512,30,2.602,8.768,1.333,1466.19
5.52,1500.0,44704.0,29669,1,swarm,sn,1,exp14,0,0,1,4,512,30,2.657,26.112,1.333,1490.07
6.22,1500.0,43993.0,29658,0,swarm,sn,1,exp12,0,1,1,4,512,30,2.849,13.312,1.57,1466.15
6.1,1500.0,44333.0,29618,1,swarm,sn,1,exp13,0,1,0,4,512,30,2.795,14.576,1.577,1477.41
5.7,2000.0,59188.0,39687,1,swarm,sn,1,exp14,0,0,1,4,512,30,2.781,9.152,1.339,1972.91
6.74,2000.0,59189.0,39689,0,swarm,sn,1,exp12,0,1,1,4,512,30,3.106,13.048,1.546,1972.69
7570.0,2000.0,52629.0,33570,1,swarm,sn,1,exp15,1,1,1,4,512,30,476.85,10035.2,1277.137,1753.47
6.51,2000.0,59187.0,39688,1,swarm,sn,1,exp13,0,1,0,4,512,30,3.029,18.96,1.55,1972.81
7.8,3000.0,89819.0,59653,1,swarm,sn,1,exp13,0,1,0,4,512,30,3.401,15.28,1.682,2993.91
24350.0,3000.0,45752.0,29451,1,swarm,sn,1,exp15,1,1,1,4,512,30,6561.74,28540.928,5845.812,1524.81
6.36,3000.0,89122.0,59703,1,swarm,sn,1,exp14,0,0,1,4,512,30,2.956,32.368,1.492,2970.72
22400.0,3000.0,40314.0,25971,0,swarm,sn,1,exp12,0,1,1,4,512,30,7498.706,23887.872,6174.576,1342.85
17710.0,4000.0,78360.0,45722,1,swarm,sn,1,exp13,0,1,0,4,512,30,4610.845,21692.416,4569.793,2611.9
23040.0,4000.0,37523.0,24173,0,swarm,sn,1,exp12,0,1,1,4,512,30,12359.072,26345.472,5769.809,1247.68
15220.0,4000.0,72598.0,47359,1,swarm,sn,1,exp14,0,0,1,4,512,30,7350.476,18792.448,3297.572,2418.53
18330.0,5000.0,69921.0,45822,1,swarm,sn,1,exp14,0,0,1,4,512,30,9970.409,22380.544,3664.095,2328.64
22410.0,5000.0,68858.0,45589,1,swarm,sn,1,exp13,0,1,0,4,512,30,9615.002,26361.856,4970.631,2295.3
20120.0,6000.0,65400.0,42966,1,swarm,sn,1,exp14,0,0,1,4,512,30,12093.302,22511.616,3952.62,2177.15
